,content,Sentiment
0,somiteslagirl tesla elonmusk be safe  hope you get that ticket,Neutral
1,tsla idk why you guys put at this level u know tesla rule ev and have a report this week should be ashame to you a trader ,Positive
2,i cant wait to see a tesla cybertruck out in the real world ,Negative
3,elonmusk sawyermerritt tesla i think i can fix the battery charging situation where you dont need to even go to a car station you can constantly charge the battery through quantum physics,Positive
4,saladandgo is the tesla of food companies just cant be stopped,Negative
5,tsla going to blow a thousand bucks at the strip club this weekend because tesla is gonna give it all back and more this month lol  httpstcogliyryutq8,Negative
6,bethelmorales sawyermerritt tesla and what would be wrong if i was working at mcdonads its honest hard  work stop putting down all the hard working people working in our fast food industries,Positive
7,tesla and yet i still havent received my car when ordered last september,Neutral
8,sawyermerritt german automakers should have realistic expectations of crawling walking and then running produce efficient reliable evs in 30 hours first with no software issues etc then  improve like tsla one change after another,Positive
9,tsla for all its worth 0002 roi ,Positive
10,elonmusk wholemarsblog sawyermerritt tesla the best team in the world bar none please let me know the team that im  missing,Negative
11,"tslawhy q1s slight miss shouldnt be a problem

httpstcoqynggqvjqn",Neutral
12,nickd2c rokhladnik tesla wife wont let me get autopilot so jealous,Neutral
13,crissangel i spy a tesla,Neutral
14,tsla teslas sales jumped in the first quarter bucking industry trend again httpstcoxvzgeqpvol,Positive
15,"ghostwaterdive azukiofficial tesla maybe a tesla 
always wanted a model s",Neutral
16,tsla tesla bears have turned in to full blown ass clowns  ,Positive
17,whatcha53456484 sudz3 elonmusk driveteslaca tesla cbctoronto their evs so lame a ,Neutral
18,terri000000 peta tesla while we might not the chinese might lose patience with him pretty soon  especially with all those satellites he keeps putting up there  without anyones real permission much less the chinese or russians,Positive
19,"remember when gordonjohnson19 said tsla was a busted growth story lol 
its a very small man who cant admit that he was wrong and few have been as wrong as gj ",Positive
20,hold upare we all wearing our belt buckles to tsla s cyber rodeo   httpstco4fbozbivcp,Neutral
21,tsla going to fly come monday exceptional company ,Neutral
22,jonbryant421 as well as selling the stock she hypes tsla,Neutral
23,saxenapuru did you ever check margins and profitability for tsla  future growth compared to dying oems,Positive
24,seldonraven iofrome72 agentx23 tweets4retweets teslasuper realdanodowd tesla elonmusk dojcrimdiv secgov hes one of those special loons that deletes all of his old tweets i noticed that during the back and forth  totally sane behavior,Neutral
25,"btc now 1 by a long shot as most searched in past 72 hours 
httpstcodl3ciu11eh
amc mgm eegi hmbl phil enzc kync ada eth tsla httpstco1cosxm3gdl",Neutral
26,tsla worth reading  httpstcoy7fcfz3amq,Positive
27,tesla elonmusk these drone pilots are really getting out of hand,Neutral
28,tsla trades at high multiples but growth is significant  margins are increasing as asp decreases  berlin and austin just getting started  james is a great analyst httpstcout3ezgiqv8,Negative
29,sudz3 elonmusk driveteslaca tesla cbctoronto only idiots buy tesla,Neutral
30,"history doesnt repeat itself but it often rhymes 

tsla tesla",Neutral
31,the new tesla model sx has a swivel mount check out the video elonmusk httpstcoj2fa4ctq3t,Negative
32,fornandoz elonmusk sheebaeth next100xgems dogecoin tesla yourpop8 pablocro adameshelton kingcashcow 1goonrich ahahaha,Neutral
33,elonmusk sawyermerritt tesla hai sir give me work,Neutral
34,ezebroni tesla elonmusk whaa how,Neutral
35,iammarkmonroe tesla elonmusk once texas and berling are cranking we could start seeing 600k per qtr,Neutral
36,rosema08 russianataly elonmusk sawyermerritt tesla so not understanding why people worship billionaires  you hate people cuz money,Neutral
37,sawyermerritt tesla up 69 on on 420,Neutral
38,passthebeano sudz3 elonmusk driveteslaca tesla cbctoronto facts dont lie they survive amp endure 2 enlighten,Neutral
39,"httpstco5ghs4v9pwc

holy sht this was a beautiful tour of berlinbrandenburg thank you tesla",Neutral
40,zeejenkinz ghostwaterdive azukiofficial tesla actually teslas been going up in value,Neutral
41, feels like 69k was only yesterday tsla httpstcorvx7vejjhc,Neutral
42,shelbychurch tesla do a durability test ft zacksjerryrig,Neutral
43,"question what number would have been good enough for bears to stop hating on this company
tsla ",Positive
44,tsla me thinking of my tesla    httpstco0uz8dutnyu,Neutral
45,"finfluencer rih trades 118k follower most mentioned symbols 14d

1st tsla 4
2nd amzn 4
3rd mrna 3
4th spy 3
5th afrm 2

 richherich
httpstcolcrdpdgvdb",Neutral
46,moondoggy natedigital chelseacpaul tesla this is what i do tilethdouspart,Neutral
47,tsla the stock split and giga berlin and giga austin is good enough for the run hitting deliveries record is icing on the cake we run to 1100 monday starting premarket ,Negative
48,"sudz3 elonmusk cbcthenational driveteslaca tesla cbctoronto omvicconsumers file a lawsuit you will win 

httpstcocdxo1e0lp2",Neutral
49,the ontario supercharger rates are ridiculous it is almost tripled for the same trip i drove all the time tesla elonmusk why,Negative
50,tsla  tesla to pause production at shanghai gigafactory amid covid lockdown report  pause lockdown gigafactory shanghai httpstcojfzjwgcdps via finclout,Neutral
51,koch brothers are now part of the energy transition oott tsla f gm httpstcoszfdie3dov,Neutral
52,taylorogan tesla bydcompany bydglobal so byd expecting to sell half the number of evs as tesla and at much lower profitability,Neutral
53,driveteslaca tesla elonmusk teslaownerssv wholemarsblog blkmdl3 arctechinc teslachillmode klwtts teslaraj joetegtmeyer if i get an invite ill definitely drive my tesla just for fun although its not economical or efficient itll just be a fun road trip and a true tesla experience,Negative
54,sawyermerritt tesla comparisons with q1 and q4 of last year would be nice,Neutral
55,tsla hahahaaha 620 next week ,Neutral
56,maniamarkets passthebeano sudz3 elonmusk driveteslaca tesla cbctoronto minimal is reading headlines that come up on yahoo thats where were at,Negative
57," to the surprise of few one wd imagine but the last sentence is more than a bit odd tesla
httpstcoies9p8b0yb",Negative
58,ghostwaterdive azukiofficial tesla i definitely take the azuki because i prefer status over functionality,Neutral
59,"spy so it looks like putin is going to have the last laugh uh what is going to happen now that they are not accepting dollars or euros as a payment 
uso amzn tsla googl ",Negative
60,ghostwaterdive azukiofficial tesla its harder to burn an azuki,Neutral
61,its sunday stock exchange is closed and still you can trade tsla spy appl msft and co  as tokenized stocks and etfs on defichain,Neutral
62,codingmark ralphsgrocery tesla youre doing it wrong you sell your points for fifty cents on the dollar lol,Neutral
63,natedigital chelseacpaul tesla is that tea,Neutral
64,justingutwein tidal tesla so its not just me,Neutral
65,tsla texas opening this week is now big deal said the bearish moron ,Positive
66,"teslaanddoge friday closing bell saw tsla responded positively coupled with a stock spilt support sentiment
monday to apr 7th will be cyber bull out on rodeo
trades laid as anticipated",Negative
67,tsla delivery numbers came out about inline better than other auto makers with shortages id expect a near term selloff because it wasnt good enough best case get some credit put spreadsshort puts atunder 50200 day texas event this weekmaybe cease fire alsoearnings 20th httpstcojcbg8p6eqe,Neutral
68,tsla mush claims he couldnt get into collage actually he received a full ride from stanford and then dropped out 2 days latertruth ,Positive
69,elonmusk sawyermerritt tesla  congratulations teampelosi ,Neutral
70,tsla reported production of 14218 model sx vehicles and 291189 model 3y vehicles in q1 totaling production of 305407 vehicles  httpstcob1ohcj073x,Neutral
71,spideycyp155 elonmusk teslaownerssv tesla teslaraj codingmark kimpaquette teslajoy evafoxu renatakonkoly porsche old news ,Neutral
72,driveteslaca tesla elonmusk teslaownerssv wholemarsblog blkmdl3 arctechinc teslachillmode klwtts teslaraj joetegtmeyer how wonderful have fun and enjoy am sure it will be amazing,Neutral
73,elon tesla elonmusk any thought to a tesla magazine newsletter,Neutral
74,fox13seattle well thatll work out well delusional greenenergy wokelibtards climateaction get smoked socialist joke  tesla boys back it up,Neutral
75,ghostwaterdive azukiofficial tesla just throw down your airdrop for a dp,Neutral
76,shelbychurch tesla i want 1 million of them,Neutral
77,"dobackhuffinc toyota gm ford stellantis honda tesla elonmusk based on best estimate tsla sales up 57 yoy q1

but these are the only reported and published numbers available

doback is just looking for attention dont give it to him",Positive
78,"tsla  
keep my tslas name out of fi mouth  lol  httpstcoce8ssutzlr",Neutral
79,neuralink and tesla have an ai problem that elons money cant solve  the next web httpstcol97tg9ntbh httpstcojdh5mjfmyd,Neutral
80,terri000000 peta tesla yeah not sure how that all happened i think its when he started to be worth many billions of dollars not just a few that kind of money gives you superpowers in congress amp washington same for bezos once you get over maybe 50b you can do pretty much anything you want,Positive
81,teslaownerssv elonmusk tesla have they released the final modelspecs yet,Neutral
82,tsla easy 1200 monday ,Positive
83,"zerohedge an outlet that perennially  on tsla  fails at basic math

zh for q1 2022  that was not yet the case deliveries were up less than 50 from q1 2021s total of 182780

im sorry 310048 is 70 higher than 182780

70 is greater than 50 retract zerohedge",Positive
84,austen just imagine if he parlayed that profit into tsla shares now and let it ride,Negative
85,"solar is abundant and renewable and doesnt produce emissions
elonmusk tsla",Neutral
86,tsla never miss or did miss down we go spy ,Neutral
87,tsla its gonna rip on monday rip harder than my butthole did last night ,Negative
88,bonertesla sudz3 elonmusk driveteslaca tesla cbctoronto talking less than fawningly about tesla is a good way to get the muskrat crew to attack you,Negative
89,ezebroni tesla elonmusk yes it is intentional sandy monroe did a video on this when he was tearing down his model s plaid ,Negative
90,tsla is it monday yet  ,Positive
91,terri000000 peta tesla he also has lots of lobbyists amp lawyers helping him billions buys you a lot of expensive lobbyists amp lawyers they can work wonders for you unfortunately they will also work hard to get him out of his neuralink problems now just watch but we amp others will fight that now,Neutral
92,"ghruffo chat with alex you will have a fascinating story and it may force tesla canada  to quickly hand alex a new car 
tsla httpstcoqljulmjdm7",Negative
93,now do deposit theft at tsla roadster semi cyber httpstcobqa7hwtejw httpstco9ewod0ke7v,Positive
94,teslaownerssv elonmusk tesla i want one ,Neutral
95,sustainablefl1 tesla elonmusk cool munro,Neutral
96,ghostwaterdive azukiofficial tesla azukiofficial hands down,Neutral
97,tesla tsla q1 2022 vehicle production and delivery numbers httpstcoe6xzisbwqh,Neutral
98,gyrowavegentm peta tesla why be a risk taker this way  it comes across wreckless,Negative
99,looking for tickets for the tesla event next week in austin anyone know how to get one,Negative
100,teslaanddoge by eow end of week 13001400  dont let monday dictate anything for you rookie shorts giga texas opening and stock split news not to mention innovation and new battery concept  tesla tsla tesla  ceo elonmusk goat httpstconflfuuat0x,Negative
101,"tweetlurker10 teslawins2 ray4tesla elonmusk teslacn as a porsche guy you should prefer the tesla design language
it looks that model 3y design was inspired by porsche
regarding size the old fashion take is to go for exterior size to impress others while tesla and now lucidmotors focus on maximising interior space",Positive
102,ghostwaterdive azukiofficial tesla left httpstco73ciewypra,Neutral
103,shelbychurch tesla ask him to break dance and to try a head spin,Neutral
104,tsla bulls need to understand that the quarter wasnt bad but the market was expecting a major beat last quarter they beat by 155 so it will be a sell the news event ,Negative
105,elonmusk sawyermerritt tesla you are welcome,Neutral
